sample_id,region,date_start,date_end,flood_label,severity,longitude,latitude,VV_mean,VV_std,VV_min,VV_max,VH_mean,VH_std,VH_min,VH_max,VV_stdDev_mean,VH_stdDev_mean,precipitation_sum,precipitation_mean,precipitation_max,water_occurrence_mean,elevation_mean,slope_mean,region_Jonglei_Flood_Prone,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
42,Unity,2024-05-15,2024-07-31,1,moderate,30.255808805937708,8.281898882558139,-9.187008621698475,1.6499965848664906,-12.41184370472713,-6.86025504078625,-16.041238383930473,1.403980131459924,-18.362070492665122,-13.354277418133265,1.6499965848664906,1.403980131459924,377.5963937267661,4.903849124908447,25.80758285522461,0.0,397.51661164634305,1.5842665764330788,0,1,0
43,Unity,2023-08-01,2023-10-31,1,high,30.26504197591504,9.194370598469275,-11.760419457751603,0.7513521560272796,-12.94082538170683,-10.597901469816206,-15.971290872364474,0.721873888308927,-17.048721289523915,-14.785203285972749,0.7513521560272796,0.721873888308927,400.05528235435486,4.396212100982666,19.011260986328125,0.0,397.36330522674945,2.2134360725662785,0,1,0
44,Unity,2023-08-01,2023-10-31,1,high,30.252181409094504,9.215633108194595,-9.406727192727562,0.9249583553845527,-10.939671613508272,-7.998975176111453,-15.364679739334871,0.6439884288897644,-16.372885604913783,-14.350859373634755,0.9249583553845527,0.6439884288897644,408.0233781337738,4.483773231506348,18.074779510498047,0.0,397.34159498207833,2.2825400954519632,0,1,0
45,Unity,2023-08-01,2023-10-31,1,high,31.32202819146596,7.595992452642035,-7.796907272133312,0.5764417358542495,-8.629559815425859,-6.947194852882765,-14.384413798197148,1.0104774147195352,-15.728433631252045,-12.743919083229613,0.5764417358542495,1.0104774147195352,363.8194921016693,3.998016357421875,22.32988166809082,0.0,411.08246546131755,1.9937299605228092,0,1,0
46,Unity,2023-08-01,2023-10-31,1,high,30.965303257394982,7.694821204800741,-5.446785894946394,1.8402106265824867,-8.059221556533176,-3.0795611848707627,-17.205915259714747,3.195169675175474,-22.056581710611482,-12.991192529220433,1.8402106265824867,3.195169675175474,390.6497051715851,4.292853832244873,24.61048126220703,0.0,408.8238344532296,1.713865924768435,0,1,0
47,Unity,2023-08-01,2023-10-31,1,high,31.30238144687452,7.912326827500978,-8.500845257691177,0.8869741706440005,-9.726467404348083,-7.188689613852516,-13.933789740064627,0.6448398066553801,-14.84945486019181,-12.972589389058928,0.8869741706440005,0.6448398066553801,390.9698386192322,4.296371936798096,31.133878707885742,0.0,407.59849397590347,2.4717682786563215,0,1,0
48,Unity,2023-08-01,2023-10-31,1,high,29.644259256215026,7.9680409748291074,-9.976939476419629,1.8451325988875271,-13.892296452633218,-7.448017055223919,-16.007123926396208,1.4004587307473926,-19.204529722632838,-14.535933751069425,1.8451325988875271,1.4004587307473926,401.17425549030304,4.40850830078125,18.418983459472656,0.0,396.5323378164555,2.566017705918494,0,1,0
49,Unity,2023-08-01,2023-10-31,1,high,31.434623178979827,7.998408050895613,-8.599792710799365,0.8231363480066461,-9.765299257347483,-7.380494060125648,-13.943315976291663,0.6327956766016749,-14.845426533913658,-13.010068477713787,0.8231363480066461,0.6327956766016749,403.21547651290894,4.430939197540283,21.959217071533203,0.0,408.09252742610323,2.7386835431151155,0,1,0
50,Unity,2023-08-01,2023-10-31,1,high,31.428713260222523,7.5793015158905,-9.273719287070344,1.2766762007449959,-11.039121110767333,-7.447888461811847,-14.509400818420577,0.8525522954181357,-15.78281200875161,-13.335721471754423,1.2766762007449959,0.8525522954181357,338.6290247440338,3.721198081970215,20.254587173461914,0.0,415.0939267284237,1.602440051850731,0,1,0
51,Upper_Nile,2023-08-01,2023-10-31,1,high,33.664441006909065,10.042467665925585,-8.095874680836937,0.9262064286248544,-9.48832496401493,-6.558490097703635,-13.793988963741574,1.0694938979691524,-15.416600031211665,-11.996979850333721,0.9262064286248544,1.0694938979691524,409.5835738182068,4.500918388366699,20.032316207885742,0.0,450.2252393167742,1.7042186491101425,0,0,1
