longitude,latitude,label,sar_vv_mean,sar_vh_mean,sar_vv_std,sar_vh_std,rainfall_total,rainfall_max,elevation_mean,slope_mean,water_occurrence,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
31.56,6.21,1.0,0.08815942287728482,-0.11554729542735315,-0.09388517553183827,0.1830280431320531,-0.4437983487245556,-0.1542218251103996,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.41218782810270793,0.35345732200179236,-0.2565327060733318,-0.09774350839194021,0.4632565750237158,0.22964003670132963,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.09520315864511611,0.13665947687423508,-0.407804947878313,-0.5743671624539749,0.10919082439540254,1.6045123414908213,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.22448898366411393,0.3060182464200912,0.06405379942187721,-0.29489192554439664,0.7043660764075157,0.07999308436983386,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.4420855088840687,0.2963067474818446,-0.16700690261687437,-0.4189685699414268,0.12531480339358234,-0.18709349086185925,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.7052750832927333,0.48661380081048106,-0.48987477885797176,-0.4117841174225667,-0.40833322837046565,-0.2626182047882229,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,1.0,0.24527773887928916,0.35161715074026806,0.9685703938763982,0.2325541828816297,0.6493497980603107,-0.4179825667042242,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,0.0,0.2562559434644577,0.24800192112424183,-0.37819956694296136,-0.3709303993346936,-0.902302480542004,-0.8815657233189509,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,0.0,0.47921846508662835,0.6286186007813245,-0.47816173824440905,-0.6512085175108098,-0.2600889171946812,0.12829379907562985,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,0.0,-0.451565137815486,-0.39685038280529994,-2.2390008583180054,-2.089596331202552,-0.609334036773816,-0.44935587955433054,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,0.0,-0.704933371273725,-1.2643340954011466,-0.6916557291454085,0.3321058920804651,-1.9670093630775851,-1.7536576526007084,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.56,6.21,0.0,-0.3115698607522135,-0.5423726480007535,-0.5429879079220072,0.15652885343838463,-1.9670093630775851,-1.8246591164230688,1.6650867045912159,-0.44858316720346225,0.9119156492820271,False,False
31.58,6.19,1.0,0.09589574155735206,-0.08260071147996831,-0.3592684107166017,-0.17978286406600347,-0.4389684744797901,-0.026093823782953482,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.43204173259441025,0.3035987165029328,-0.1659119042732341,0.10254792902772311,0.4961928679023615,0.24221021290663874,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.24653698094741883,0.22209825793112964,-0.571753316151228,-0.5892382076141923,0.09578523662956738,1.6168508290543446,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.40619907619397216,0.41946878548735417,-0.013568254929160167,-0.12106587322599197,0.7840189432186084,0.041273982595326324,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.7202709437206767,0.6551188416415789,-0.42279703250722717,-0.5111133192630632,0.14027023616993736,-0.07912780366227287,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.7994351310486788,0.6518834868447276,-0.4546157173675901,-0.4214239622066328,-0.40367889747481384,-0.19532585511266157,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,1.0,0.3680860973256742,0.4644377144249235,0.6696269443163284,0.055245041170831156,0.6517079453116241,-0.1205230176553315,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,0.0,0.28275823682043916,0.2975221583321186,-0.30161145260967526,-0.34040696070244425,-0.8731032004165953,-0.696653963991487,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,0.0,0.4877394011867716,0.6330240403400683,-0.2598701783242827,-0.5348071137139467,-0.25354642148175,0.26712470034156793,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,0.0,-1.004770372376301,-1.040409507056906,-2.2390008583180054,-2.089596331202552,-0.6225654425486007,-0.4293656545831182,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,0.0,-1.2009561351497597,-2.1551385446819182,-0.8396606610400136,0.9570769125225317,-1.9670093630775851,-1.7821129649708638,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.58,6.19,0.0,-0.6114568018212416,-0.9687200625054468,-0.4934418906218118,0.5842368622456223,-1.9670093630775851,-1.8246591164230688,1.8313488625790544,-0.6665899288705144,0.4277017381545011,False,False
31.08,7.73,1.0,-2.364151649800938,-2.309548977245643,0.31066928075724914,1.5642111025547867,-0.05632778105287796,-0.17268557466931397,-0.04043912467766022,0.09495904042683821,-1.0807950460497073,False,False
31.08,7.73,1.0,0.6615117573089045,-1.2116721021132741,0.5699872189631976,1.5258893661157031,0.8446036115844135,-0.19319942111549476,-0.04043912467766022,0.09495904042683821,-1.0807950460497073,False,False
31.08,7.73,1.0,1.7009964082752393,-0.6506745658226458,-0.8511080898352206,1.8596792149755195,0.6786112805979165,-0.19227856047595604,-0.04043912467766022,0.09495904042683821,-1.0807950460497073,False,False
