latitude,longitude,label,sar_change,pre_flood_precipitation,sar_difference,water_occurrence,annual_precipitation,sar_after,flood_season_precipitation,upstream_precipitation,sar_before,elevation
6.21,31.56,1.0,-0.1877703510636764,-0.4437983487245556,-0.1155472954273531,91.19156492820272,-5.325580184694667,-0.005725752654553398,-0.46266547533119884,-0.5325580184694667,0.18204459840912302,1.665086704591216
6.21,31.56,1.0,-0.5130654121466636,0.4632565750237158,0.3534573220017923,91.19156492820272,5.5590789002845895,0.1556551220293761,0.6889201101039888,0.555907890028459,0.6687205341760396,1.665086704591216
6.21,31.56,1.0,-0.815609895756626,0.1091908243954025,0.136659476874235,91.19156492820272,1.3102898927448299,-0.3126017892331969,4.813537024472463,0.13102898927448298,0.5030081065234291,1.665086704591216
6.21,31.56,1.0,0.12810759884375442,0.7043660764075157,0.3060182464200912,91.19156492820272,8.452392916890188,0.28854278308599113,0.23997925310950138,0.8452392916890188,0.1604351842422367,1.665086704591216
6.21,31.56,1.0,-0.33401380523374863,0.1253148033935823,0.2963067474818446,91.19156492820272,1.5037776407229877,0.27507860626719444,-0.5612804725855776,0.15037776407229878,0.6090924115009431,1.665086704591216
6.21,31.56,1.0,-0.9797495577159433,-0.4083332283704656,0.486613800810481,91.19156492820272,-4.899998740445588,0.21540030443476155,-0.7878546143646687,-0.4899998740445587,1.1951498621507048,1.665086704591216
6.21,31.56,1.0,1.9371407877527964,0.6493497980603107,0.351617150740268,91.19156492820272,7.792197576723728,1.2138481327556874,-1.2539477001126724,0.7792197576723728,-0.723292654997109,1.665086704591216
6.21,31.56,0.0,-0.7563991338859226,-0.902302480542004,0.2480019211242418,91.19156492820272,-10.827629766504048,-0.12194362347850363,-2.644697169956853,-1.0827629766504048,0.634455510407419,1.665086704591216
6.21,31.56,0.0,-0.956323476488818,-0.2600889171946812,0.6286186007813245,91.19156492820272,-3.1210670063361743,0.0010567268422193021,0.3848813972268894,-0.3121067006336174,0.9573802033310372,1.665086704591216
6.21,31.56,0.0,-4.47800171663601,-0.609334036773816,-0.3968503828052999,91.19156492820272,-7.312008441285792,-2.690565996133491,-1.3480676386629915,-0.7312008441285792,1.7874357205025189,1.665086704591216
6.21,31.56,0.0,-1.383311458290817,-1.967009363077585,-1.2643340954011466,91.19156492820272,-23.60411235693102,-1.3965891004191335,-5.260972957802125,-2.360411235693102,-0.013277642128316502,1.665086704591216
6.21,31.56,0.0,-1.0859758158440145,-1.967009363077585,-0.5423726480007535,91.19156492820272,-23.60411235693102,-0.8545577686742207,-5.473977349269206,-2.360411235693102,0.23141804716979375,1.665086704591216
6.19,31.58,1.0,-0.7185368214332034,-0.4389684744797901,-0.0826007114799683,42.77017381545011,-5.267621693757481,-0.26337266915924973,-0.0782814713488602,-0.526762169375748,0.4551641522739537,1.8313488625790544
6.19,31.58,1.0,-0.33182380854646826,0.4961928679023615,0.3035987165029328,42.77017381545011,5.954314414828338,0.2661298283211761,0.7266306387199161,0.5954314414828338,0.5979536368676444,1.8313488625790544
6.19,31.58,1.0,-1.143506632302456,0.0957852366295673,0.2220982579311296,42.77017381545011,1.1494228395548076,-0.3252163352038092,4.850552487163034,0.11494228395548076,0.8182902970986469,1.8313488625790544
6.19,31.58,1.0,-0.027136509858320168,0.7840189432186084,0.4194687854873541,42.77017381545011,9.4082273186233,0.392630821264812,0.12382194778597891,0.9408227318623301,0.4197673311231322,1.8313488625790544
6.19,31.58,1.0,-0.8455940650144541,0.1402702361699373,0.6551188416415789,42.77017381545011,1.6832428340392478,0.29747391121344957,-0.23738341098681842,0.16832428340392477,1.1430679762279037,1.8313488625790544
6.19,31.58,1.0,-0.9092314347351802,-0.4036788974748138,0.6518834868447276,42.77017381545011,-4.844146769697765,0.3448194136810887,-0.5859775653379845,-0.4844146769697765,1.254050848416269,1.8313488625790544
6.19,31.58,1.0,1.3392538886326568,0.6517079453116241,0.4644377144249235,42.77017381545011,7.8204953437394895,1.0377130416420026,-0.3615690529659945,0.782049534373949,-0.3015408469906542,1.8313488625790544
6.19,31.58,0.0,-0.6032229052193503,-0.8731032004165953,0.2975221583321186,42.77017381545011,-10.477238404999143,-0.0188532157892361,-2.089961891974461,-1.0477238404999143,0.5843696894301142,1.8313488625790544
6.19,31.58,0.0,-0.5197403566485654,-0.25354642148175,0.6330240403400683,42.77017381545011,-3.042557057781,0.2278692228624889,0.8013741010247036,-0.30425570577809996,0.7476095795110543,1.8313488625790544
6.19,31.58,0.0,-4.47800171663601,-0.6225654425486007,-1.040409507056906,42.77017381545011,-7.470785310583208,-3.243771230694306,-1.2880969637493547,-0.7470785310583208,1.234230485941704,1.8313488625790544
6.19,31.58,0.0,-1.6793213220800274,-1.967009363077585,-2.1551385446819182,42.77017381545011,-23.60411235693102,-2.040616796189773,-5.346338894912591,-2.360411235693102,-0.36129547410974594,1.8313488625790544
6.19,31.58,0.0,-0.9868837812436237,-1.967009363077585,-0.9687200625054468,42.77017381545011,-23.60411235693102,-1.1048986924430535,-5.473977349269206,-2.360411235693102,-0.1180149111994298,1.8313488625790544
7.73,31.08,1.0,0.6213385615144986,-0.0563277810528779,-2.309548977245643,-108.07950460497071,-0.6759333726345348,-2.0534823690436887,-0.5180567240079417,-0.06759333726345347,-2.6748209305581874,-0.0404391246776602
7.73,31.08,1.0,1.1399744379263952,0.8446036115844135,-1.211672102113274,-108.07950460497071,10.135243339012963,1.231498976272102,-0.5795982633464841,1.0135243339012963,0.09152453834570695,-0.0404391246776602
7.73,31.08,1.0,-1.702216179670441,0.6786112805979165,-0.6506745658226458,-108.07950460497071,8.143335367174998,0.8498883184400186,-0.576835681427868,0.8143335367174999,2.5521044981104595,-0.0404391246776602
