sar_before,sar_after,sar_difference,sar_change,elevation,slope,aspect,water_occurrence,river_distance,water_distance,annual_precipitation,flood_season_precipitation,pre_flood_precipitation,upstream_precipitation,flood_month,flood_label,year
-19.376466751098633,-26.62906837463379,1.37429940700531,-7.252600193023682,413.0,1.0,64.0,31.0,169.75570678710938,22.627416610717773,948.3087158203125,813.0830078125,46.63179016113281,1.1279783248901367,5.0,1.0,2019
-18.319873809814453,-23.004697799682617,1.2557235956192017,-4.684823513031006,407.0,0.0,0.0,58.0,1.4142135381698608,0.0,931.4295654296875,781.6810913085938,50.51560974121094,1.2280926704406738,5.0,1.0,2019
-18.004383087158203,-28.387924194335938,1.5767228603363037,-10.383540153503418,404.0,1.0,135.0,12.0,83.81526947021484,8.485280990600586,899.0938720703125,800.4469604492188,31.56325340270996,0.9067215919494629,5.0,1.0,2019
-32.44780349731445,-32.6209716796875,1.005336880683899,-0.17317016422748566,397.0,0.0,0.0,75.0,1.0,0.0,967.4794921875,912.3436279296875,25.932371139526367,0.6104620695114136,5.0,0.0,2019
-30.614341735839844,-30.28899383544922,0.9893726706504822,0.32534825801849365,400.0,0.0,0.0,58.0,83.86298370361328,0.0,856.1621704101562,767.8470458984375,25.67750358581543,0.7483199238777161,5.0,0.0,2019
-23.409568786621094,-20.04780387878418,0.856393575668335,3.361764669418335,411.0,1.0,244.0,2.0,62.032249450683594,8.0,836.9899291992188,733.4349365234375,37.141334533691406,0.8874896168708801,5.0,0.0,2019
-28.8138370513916,-32.59273147583008,1.1311486959457397,-3.778895616531372,418.0,0.0,0.0,95.0,0.0,0.0,928.2178955078125,751.3174438476562,60.76396560668945,1.4133684635162354,5.0,0.0,2019
-21.33976936340332,-22.562911987304688,1.0573174953460693,-1.2231433391571045,401.0,1.0,346.0,48.0,68.87670135498047,1.0,843.9578857421875,757.6726684570312,28.155824661254883,0.7250060439109802,5.0,0.0,2019
-16.4735050201416,-15.992294311523438,0.9707887768745422,0.4812115728855133,400.0,0.0,225.0,2.0,63.65532302856445,61.52235412597656,914.5833129882812,846.0529174804688,20.79107666015625,0.7303911447525024,5.0,0.0,2019
-29.095056533813477,-28.172460556030273,0.9682902693748474,0.9225961565971375,408.0,1.0,27.0,38.0,81.98780059814453,1.0,823.2288208007812,729.7334594726562,33.66881561279297,0.8060008883476257,5.0,0.0,2019
-28.43975830078125,-28.170137405395508,0.9905195832252502,0.26962050795555115,406.0,0.0,0.0,87.0,0.0,0.0,830.2289428710938,738.5054321289062,37.02191925048828,0.8223686814308167,5.0,0.0,2019
-14.837935447692871,-14.23817253112793,0.9595791101455688,0.5997629761695862,429.0,0.0,180.0,3.0,230.41050720214844,25.238859176635742,1057.062744140625,842.304931640625,85.3074951171875,1.6140750646591187,5.0,0.0,2019
-15.400840759277344,-15.789402961730957,1.0252299308776855,-0.388561487197876,403.0,1.0,90.0,11.0,6.324555397033691,4.4721360206604,823.9953002929688,724.9458618164062,47.74211502075195,0.9758464097976685,5.0,0.0,2020
