VV_mean,VV_std,VV_min,VV_max,VH_mean,VH_std,VH_min,VH_max,VV_stdDev_mean,VH_stdDev_mean,precipitation_sum,precipitation_mean,precipitation_max,elevation_mean,slope_mean,water_occurrence_mean,flood
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25646.729464813936,8.034689681959254,57.30684371993126,408.4118616873759,0.9860430965204028,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196.222114252713,6.993703523754522,40.88747050103134,408.4114985381586,0.9857678501981686,0.0,False
-2.330914985348305,5.224181114129973,-15.165032956269275,0.0,-3.2821110885833797,7.353655492783511,-21.144070659924964,0.0,0.0,0.0,3685.38816483064,5.849822483858159,40.06506456251338,408.4118616873759,0.9860430965204028,0.0,False
-1.5779109227274366,4.068420572641541,-13.772556467653953,0.0,-2.4496930731735804,6.304318385616246,-20.601328843434807,0.0,0.0,0.0,5542.424895789972,8.797499834587256,63.577860927204526,408.4118616873759,0.9860430965204028,0.0,False
-1.7133776716088622,4.194753707756619,-13.954618734759954,0.0,-2.4447369298812336,5.945342335117939,-19.59256648443973,0.0,0.0,0.0,20148.69579656061,10.176108988161925,76.25933022043394,408.4116585269746,0.9858891125639082,0.0,True
-0.8046544775438492,2.11853256537386,-9.142775839232325,0.0,-2.0375425465480665,5.212163424148913,-17.394029228054077,0.0,0.0,0.0,38233.168268451176,14.362572602723958,139.3098439727777,408.4116585269745,0.985889112563908,0.0,True
-0.6830617740476745,1.881408058778032,-7.906090253242909,0.0,-2.0835032581621262,5.655908781244992,-20.057458352931924,0.0,0.0,0.0,43677.95992822704,10.908581400656104,87.90557961761985,408.4116585269746,0.985889112563908,0.0,True
-0.5648586066938709,2.027870889427432,-8.798700073401907,0.0,-1.307238777088856,4.769843950829297,-23.737655511481965,0.0,0.0,0.0,30317.8256917132,14.24709853933891,63.96120861815149,408.4073921585476,0.9826554494775191,0.0,True
-0.6850273299726692,2.3950574967606943,-11.581399002273091,0.0,-1.463116365509971,5.099527467927995,-23.2156955443014,0.0,0.0,0.0,26156.72109741522,10.445974879159431,98.4670728245099,408.4073921585476,0.9826554494775191,0.0,True
-1.1079210041030407,3.7373921242665498,-14.930578674378795,0.0,-1.8177404882773704,6.089239694327741,-23.414489933430147,0.0,0.0,0.0,23086.644548966124,13.874185426061372,87.05540129190115,408.4073921585476,0.9826554494775191,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25184.14612322937,11.834655133096508,112.85096868227576,397.21414815917007,1.2745959681271986,1.381382412210097,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.702115815966,7.809492604656323,31.400755350898883,397.21427975647504,1.2745647713284722,1.3286869553794736,False
-1.5227443742394091,3.898617347874448,-12.458040669712906,0.0,-2.2575778092591645,5.768850864556145,-17.792111596232143,0.0,0.0,0.0,3532.8051451074048,9.058474731044628,77.51229972587484,397.21427975647504,1.2745647713284722,1.162601484359688,False
-1.779883401768695,4.543333647502917,-13.474903310600606,0.0,-2.64803735547663,6.761066306658512,-20.310230890207624,0.0,0.0,0.0,1962.8187950677727,4.673378083494698,33.637729972521115,397.21414815917007,1.2745959681271986,1.064708634787768,False
-1.4612130426618646,3.411369916653099,-10.56725341778898,0.0,-2.300875371506589,5.370855293790937,-16.531529821881016,0.0,0.0,0.0,12915.058247652369,10.25004622829553,90.35177122539876,397.21414815917007,1.2745959681271986,1.0727601293513411,True
-1.47128048721637,3.32437137093253,-10.958971632177295,0.0,-2.3262300904926407,5.240781990018639,-16.288897107975334,0.0,0.0,0.0,15142.102065116258,8.938667098651864,74.5129346922273,397.21414815917007,1.2745959681271986,1.180636359047072,True
-1.4160786777247985,3.163231183661615,-11.35764431853644,0.0,-2.4746636228576704,5.478497092272992,-17.180492370694857,0.0,0.0,0.0,30115.718015265247,11.8193555789895,88.47152928201965,397.21414815917007,1.2745959681271986,1.762473334592951,True
-0.8387326573220417,2.8691117263794994,-11.150427042578391,0.0,-1.3406916939942377,4.583923120364298,-17.554410964956343,0.0,0.0,0.0,34654.11959008992,25.331958764685613,71.72868463667221,397.21243739420566,1.2750015265106414,0.0,True
